name,vertices,edges,density,cost_0.1,size_0.1,time_0.1,cost_1,size_1,time_1,cost_0,size_0,time_0,cost_greedy,size_greedy,time_greedy
C2000.5.wcol,2000,999836,499.918,146.2,12.8,0.0352525,118,13,0.0322292,133,9,0.116423,124,12,0.0045541
C2000.9.wcol,2000,1799532,899.766,50.8,4.6,0.00639182,64,5,0.00589582,53,4,0.0777897,55,5,0.0045674
DSJC1000.9.wcol,1000,449449,449.449,50,4.4,0.00267806,53,5,0.00232088,31,4,0.0306943,18,4,0.0028156
DSJC125.1gb.wcol,125,736,5.888,369.2,30.2,0.00046482,372.8,32.2,0.00028276,359,30,0.00038222,333,30,7.19e-05
DSJC125.5gb.wcol,125,3891,31.128,103.2,8.6,0.00034376,87,9,0.0002501,95,7,0.00060416,107,8,6.62e-05
flat1000_76_0.wcol,1000,246708,246.708,131,12.4,0.0115525,158,13,0.00697544,99,8,0.0250925,104,11,0.0011652
GEOM100a.wcol,100,992,9.92,74,10.4,0.00029356,59,10,0.00015074,75,9,0.0004066,60,9,5.78e-05
GEOM70b.wcol,70,488,6.97143,27.2,10.2,7.176e-05,28,11,3.44e-05,27,10,6.984e-05,26,10,1.3e-05
instance_1.wcol,9539,0,0,629922,5520,1.46597,612987,5705,2.27224,629922,5520,2.66811,592143,5604,1.26617
latin_square_10.wcol,900,307350,341.5,135.6,10,0.00550744,129,10,0.00290964,80,5,0.025971,133,10,0.0015731
le450_25b.wcol,450,8263,18.3622,817.8,72.4,0.0051505,784,74,0.0031568,802,75,0.00774056,716,71,0.0008385
R100_9gb.wcol,100,4438,44.38,46.8,3.2,0.00011754,66,4,8.87e-05,46,4,0.00033364,46,3,5.2e-05
wap04a.wcol,5231,294902,56.3758,4648.4,338.4,0.371056,4596.8,338,0.162295,4729,333,0.341176,4612,338,0.0393811
wap08a.wcol,1870,104176,55.7091,1856.4,146.4,0.0511236,1811,149,0.0187724,1923,146,0.0535787,1788,148,0.0046898
